# ecut,   Bind_x,   Bind_y,   Bind_z,    Bext,    sigma_x(ppm),   sigma_y,   sigma_z
290 9.39298e-09 2.30611e-09 0 0.00698132 0.00090034 0.000221046 0
290 2.0421e-08 7.02031e-11 0 0.00698132 0.0019574 6.72914e-06 0
290 2.32512e-08 -7.19725e-12 0 0.00698132 0.00222868 -6.89874e-07 0
290 2.38295e-08 -3.02567e-12 0 0.00698132 0.00228411 -2.90018e-07 0
295 -3.64641e-08 4.09048e-08 0 0.00698132 -0.00349517 0.00392082 0
295 8.69181e-09 2.5818e-09 0 0.00698132 0.000833131 0.000247472 0
295 2.01302e-08 8.73821e-11 0 0.00698132 0.00192953 8.37578e-06 0
295 2.31645e-08 -7.11321e-12 0 0.00698132 0.00222038 -6.81819e-07 0
295 2.38092e-08 -3.36638e-12 0 0.00698132 0.00228217 -3.22676e-07 0
300 -3.79134e-08 4.22497e-08 0 0.00698132 -0.00363409 0.00404974 0
300 7.98144e-09 2.87813e-09 0 0.00698132 0.000765041 0.000275876 0
300 1.98286e-08 1.07141e-10 0 0.00698132 0.00190062 1.02697e-05 0
300 2.30712e-08 -6.84829e-12 0 0.00698132 0.00221143 -6.56425e-07 0
300 2.37866e-08 -3.722e-12 0 0.00698132 0.00228 -3.56763e-07 0
